Symbol,Yahoo,Section,Yahoo Type,Yahoo Exchange,Stmt Price 2/28/26,Yahoo Last,DOD Price,DOD Price per 2/28 share,DOD Price as traded,F_dod_feb,F_after_feb,Splits since DOD,Method,Flag,high_1205,low_1205,mean_1205,high_1208,low_1208,mean_1208,nav_date,nav
WCN,WCN,Stocks,EQUITY,NYQ,172.13,163.18,172.72,172.72,172.72,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,174.8000030517578,172.55999755859375,173.68000030517578,173.16000366210938,170.36000061035156,171.76000213623047,,
WM,WM,Stocks,EQUITY,NYQ,240.84,218.4,212.8875,212.8875,212.8875,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,215.38999938964844,212.91000366210938,214.1500015258789,213.25,210.0,211.625,,
WFC,WFC,Stocks,EQUITY,NYQ,81.45,88.825,90.2075,90.2075,90.2075,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,91.11000061035156,89.55000305175781,90.33000183105469,91.0199966430664,89.1500015258789,90.08499908447266,,
WDC,WDC,Stocks,EQUITY,NMS,279.7,486.7,167.805,167.805,167.805,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,169.47000122070312,162.0,165.73500061035156,173.0,166.75,169.875,,
WING,WING,Stocks,EQUITY,NMS,259.51,109.08,254.42,254.42,254.42,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,263.739990234375,254.8000030517578,259.2699966430664,258.0199890136719,241.1199951171875,249.5699920654297,,
WTKWY,WTKWY,Stocks,EQUITY,PNK,81.14,78.0,103.11,103.11,103.11,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,105.3499984741211,103.66000366210938,104.50500106811523,102.52999877929688,100.9000015258789,101.71500015258789,,
XEL,XEL,Stocks,EQUITY,NMS,83.36,76.79,76.8275,76.8275,76.8275,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,77.94999694824219,76.9800033569336,77.46500015258789,77.1500015258789,75.2300033569336,76.19000244140625,,
YUM,YUM,Stocks,EQUITY,NYQ,168.16,149.57,144.765,144.765,144.765,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,146.9600067138672,144.91000366210938,145.93500518798828,144.9199981689453,142.27000427246094,143.59500122070312,,
YAHOY,YAHOY,Stocks,EQUITY,PNK,4.9,6.78,5.32,5.32,5.32,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,5.349999904632568,5.300000190734863,5.325000047683716,5.340000152587891,5.289999961853027,5.315000057220459,,
ZION,ZION,Stocks,EQUITY,NMS,57.28,68.9,55.6675,55.6675,55.6675,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,56.060001373291016,55.29999923706055,55.68000030517578,56.0,55.310001373291016,55.65500068664551,,
ZURVY,ZURVY,Stocks,EQUITY,OQX,37.65,36.45,35.825,35.825,35.825,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,36.040000915527344,35.7400016784668,35.89000129699707,35.84000015258789,35.68000030517578,35.760000228881836,,
AGNC,AGNC,Other,EQUITY,NMS,11.21,10.745,10.565,10.565,10.565,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,10.670000076293945,10.470000267028809,10.570000171661377,10.649999618530273,10.470000267028809,10.559999942779541,,
AMT,AMT,Other,EQUITY,NYQ,191.86,177.31,179.67,179.67,179.67,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,180.3699951171875,178.10000610351562,179.23500061035156,183.30999755859375,176.89999389648438,180.10499572753906,,
AVB,AVB,Other,EQUITY,NYQ,177.23,184.06,,,,1.0,2.793,2026-08-17 2.793:1,no bars on 12/5 or 12/8,no DOD bars,,,,,,,,
EQIX,EQIX,Other,EQUITY,NMS,974.26,1050.425,739.5475,739.5475,739.5475,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,747.8800048828125,724.7100219726562,736.2950134277344,748.3900146484375,737.2100219726562,742.8000183105469,,
ESS,ESS,Other,EQUITY,NYQ,255.11,279.18,255.3725,255.3725,255.3725,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,258.7799987792969,255.0,256.88999938964844,255.6999969482422,252.00999450683594,253.85499572753906,,
HST,HST,Other,EQUITY,NMS,19.59,22.09,17.2275,17.2275,17.2275,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,17.420000076293945,17.110000610351562,17.265000343322754,17.34000015258789,17.040000915527344,17.190000534057617,,
PLD,PLD,Other,EQUITY,NYQ,142.57,138.643,127.795,127.795,127.795,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,128.8300018310547,127.7699966430664,128.29999923706055,127.97000122070312,126.61000061035156,127.29000091552734,,
PSA,PSA,Other,EQUITY,NYQ,307.06,302.48,272.7425,272.7425,272.7425,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,276.5899963378906,271.3699951171875,273.97999572753906,273.5400085449219,269.4700012207031,271.5050048828125,,
SPG,SPG,Other,EQUITY,NYQ,203.85,211.695,182.2375,182.2375,182.2375,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,183.72000122070312,182.14999389648438,182.93499755859375,183.1300048828125,179.9499969482422,181.54000091552734,,
VTR,VTR,Other,EQUITY,NYQ,86.16,90.69,80.7025,80.7025,80.7025,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,80.87000274658203,79.48999786376953,80.18000030517578,81.8499984741211,80.5999984741211,81.2249984741211,,
WELL,WELL,Other,EQUITY,NYQ,207.12,239.021,203.365,203.365,203.365,1.0,1.0,,mean of H/L means 12/5 & 12/8 (§20.2031-2(b)),,205.0399932861328,203.0500030517578,204.0449981689453,204.86000061035156,200.50999450683594,202.68499755859375,,
